operation_id,domain,kind,method,bff_route,service_route,capability,request_schema,response_schema,status,owner
invitation.request,invitation,command,POST,/api/v1/auth/invitations/request,/v1/auth/invitations/request,auth.write,InvitationRequestRequest,InvitationRequestResponse,approved-target,Artur Wiśniewski
invitation.validate,auth,command,POST,/api/v1/auth/invitations/validate,/v1/auth/invitations/validate,auth.read,InvitationValidateRequest,InvitationValidateResponse,approved-target,Artur Wiśniewski
mobile.device.manage,mobile,command,POST,/api/v1/mobile/device/manage,/v1/mobile/device/manage,mobile.write,MobileDeviceManageRequest,MobileDeviceManageResponse,approved-target,Artur Wiśniewski
mobile.invite,mobile,command,POST,/api/v1/mobile/invite,/v1/mobile/invite,mobile.write,MobileInviteRequest,MobileInviteResponse,approved-target,Artur Wiśniewski
mobile.use,mobile,query,GET,/api/v1/mobile/use,/v1/mobile/use,mobile.read,MobileUseRequest,MobileUseResponse,approved-target,Artur Wiśniewski
onboarding.profile.update,onboarding,command,PUT,/api/v1/onboarding/profile,/v1/onboarding/profile,workspace.write,OnboardingProfileUpdateRequest,OnboardingProfileUpdateResponse,approved-target,Artur Wiśniewski
onboarding.progress.read,onboarding,query,GET,/api/v1/onboarding/progress,/v1/onboarding/progress,workspace.read,OnboardingProgressReadRequest,OnboardingProgressReadResponse,approved-target,Artur Wiśniewski
orders.detail.read,orders,query,GET,/api/v1/orders/szczegoly,/v1/orders/szczegoly,orders.read,OrdersDetailReadRequest,OrdersDetailReadResponse,approved-target,Artur Wiśniewski
orders.eksport.read,orders,query,GET,/api/v1/orders/eksport,/v1/orders/eksport,orders.read,OrdersEksportReadRequest,OrdersEksportReadResponse,approved-target,Artur Wiśniewski
orders.list.read,orders,query,GET,/api/v1/orders/lista,/v1/orders/lista,orders.read,OrdersListReadRequest,OrdersListReadResponse,approved-target,Artur Wiśniewski
orders.os-zdarzen.read,orders,query,GET,/api/v1/orders/os-zdarzen,/v1/orders/os-zdarzen,orders.read,OrdersOsZdarzenReadRequest,OrdersOsZdarzenReadResponse,approved-target,Artur Wiśniewski
orders.overview.read,orders,query,GET,/api/v1/orders/przeglad,/v1/orders/przeglad,orders.read,OrdersOverviewReadRequest,OrdersOverviewReadResponse,approved-target,Artur Wiśniewski
orders.porownanie-zrodel.read,orders,query,GET,/api/v1/orders/porownanie-zrodel,/v1/orders/porownanie-zrodel,orders.read,OrdersPorownanieZrodelReadRequest,OrdersPorownanieZrodelReadResponse,approved-target,Artur Wiśniewski
orders.read,orders,query,GET,/api/v1/orders/read,/v1/orders/read,orders.read,OrdersReadRequest,OrdersReadResponse,approved-target,Artur Wiśniewski
orders.rekoncyliacja-skrot.read,orders,query,GET,/api/v1/orders/rekoncyliacja-skrot,/v1/orders/rekoncyliacja-skrot,orders.read,OrdersRekoncyliacjaSkrotReadRequest,OrdersRekoncyliacjaSkrotReadResponse,approved-target,Artur Wiśniewski
orders.write,orders,command,POST,/api/v1/orders/write,/v1/orders/write,orders.write,OrdersWriteRequest,OrdersWriteResponse,approved-target,Artur Wiśniewski
papa.action-approval.read,papa,query,GET,/api/v1/papa/ai-action-approval,/v1/papa/ai-action-approval,ai.read,PapaActionApprovalReadRequest,PapaActionApprovalReadResponse,approved-target,Artur Wiśniewski
papa.actions.read,papa,query,GET,/api/v1/papa/ai-actions,/v1/papa/ai-actions,ai.read,PapaActionsReadRequest,PapaActionsReadResponse,approved-target,Artur Wiśniewski
papa.ai.action.approve,papa,command,POST,/api/v1/papa/ai-actions/approve,/v1/papa/ai-actions/approve,ai.write,PapaAiActionApproveRequest,PapaAiActionApproveResponse,approved-target,Artur Wiśniewski
papa.ai.action.execute,papa,job,POST,/api/v1/papa/ai-actions/execute,/v1/papa/ai-actions/execute,ai.write,PapaAiActionExecuteRequest,PapaAiActionExecuteResponse,approved-target,Artur Wiśniewski
papa.ai.action.reject,papa,command,POST,/api/v1/papa/ai-actions/reject,/v1/papa/ai-actions/reject,ai.write,PapaAiActionRejectRequest,PapaAiActionRejectResponse,approved-target,Artur Wiśniewski
papa.ai.action.rollback,papa,command,POST,/api/v1/papa/ai-actions/rollback,/v1/papa/ai-actions/rollback,ai.write,PapaAiActionRollbackRequest,PapaAiActionRollbackResponse,approved-target,Artur Wiśniewski
papa.ai.action.validate,papa,command,POST,/api/v1/papa/ai-actions/validate,/v1/papa/ai-actions/validate,ai.write,PapaAiActionValidateRequest,PapaAiActionValidateResponse,approved-target,Artur Wiśniewski
papa.answer.generate,papa,command,POST,/api/v1/papa/answer,/v1/papa/answer,ai.write,PapaAnswerGenerateRequest,PapaAnswerGenerateResponse,approved-target,Artur Wiśniewski
papa.answer.read,papa,query,GET,/api/v1/papa/odpowiedz-papa,/v1/papa/odpowiedz-papa,ai.read,PapaAnswerReadRequest,PapaAnswerReadResponse,approved-target,Artur Wiśniewski
papa.assistant-shell.read,papa,query,GET,/api/v1/papa/assistantshell,/v1/papa/assistantshell,ai.read,PapaAssistantShellReadRequest,PapaAssistantShellReadResponse,approved-target,Artur Wiśniewski
papa.context-basket.read,papa,query,GET,/api/v1/papa/context-basket,/v1/papa/context-basket,ai.read,PapaContextBasketReadRequest,PapaContextBasketReadResponse,approved-target,Artur Wiśniewski
papa.context-panel.read,papa,query,GET,/api/v1/papa/panel-kontekstowy-papa,/v1/papa/panel-kontekstowy-papa,ai.read,PapaContextPanelReadRequest,PapaContextPanelReadResponse,approved-target,Artur Wiśniewski
papa.context.capture,papa,command,POST,/api/v1/papa/context/capture,/v1/papa/context/capture,ai.write,PapaContextCaptureRequest,PapaContextCaptureResponse,approved-target,Artur Wiśniewski
papa.evidence.read,papa,query,GET,/api/v1/papa/dowody,/v1/papa/dowody,ai.read,PapaEvidenceReadRequest,PapaEvidenceReadResponse,approved-target,Artur Wiśniewski
papa.governance.read,papa,query,GET,/api/v1/papa/ustawienia-ai-i-governance,/v1/papa/ustawienia-ai-i-governance,ai.read,PapaGovernanceReadRequest,PapaGovernanceReadResponse,approved-target,Artur Wiśniewski
papa.history-memory.read,papa,query,GET,/api/v1/papa/historia-i-pamiec-papa,/v1/papa/historia-i-pamiec-papa,ai.read,PapaHistoryMemoryReadRequest,PapaHistoryMemoryReadResponse,approved-target,Artur Wiśniewski
papa.lab.read,papa,query,GET,/api/v1/papa/laboratorium-ai,/v1/papa/laboratorium-ai,ai.read,PapaLabReadRequest,PapaLabReadResponse,approved-target,Artur Wiśniewski
papa.observation.save,papa,command,POST,/api/v1/papa/observations,/v1/papa/observations,ai.write,PapaObservationSaveRequest,PapaObservationSaveResponse,approved-target,Artur Wiśniewski
papa.observations.read,papa,query,GET,/api/v1/papa/obserwacje,/v1/papa/obserwacje,ai.read,PapaObservationsReadRequest,PapaObservationsReadResponse,approved-target,Artur Wiśniewski
papa.proposals.read,papa,query,GET,/api/v1/papa/propozycje-ai,/v1/papa/propozycje-ai,ai.read,PapaProposalsReadRequest,PapaProposalsReadResponse,approved-target,Artur Wiśniewski
papa.read,papa,query,GET,/api/v1/papa/read,/v1/papa/read,papa.read,PapaReadRequest,PapaReadResponse,approved-target,Artur Wiśniewski
papa.write,papa,command,POST,/api/v1/papa/write,/v1/papa/write,papa.write,PapaWriteRequest,PapaWriteResponse,approved-target,Artur Wiśniewski
products.catalog.read,products,query,GET,/api/v1/products/katalog,/v1/products/katalog,products.read,ProductsCatalogReadRequest,ProductsCatalogReadResponse,approved-target,Artur Wiśniewski
products.detail.read,products,query,GET,/api/v1/products/szczegoly,/v1/products/szczegoly,products.read,ProductsDetailReadRequest,ProductsDetailReadResponse,approved-target,Artur Wiśniewski
products.gaps.queue.read,products,query,GET,/api/v1/products/kolejka-brakow,/v1/products/kolejka-brakow,products.read,ProductsGapsQueueReadRequest,ProductsGapsQueueReadResponse,approved-target,Artur Wiśniewski
products.impact.read,products,query,GET,/api/v1/products/analiza-wplywu,/v1/products/analiza-wplywu,products.read,ProductsImpactReadRequest,ProductsImpactReadResponse,approved-target,Artur Wiśniewski
products.mapping.read,products,query,GET,/api/v1/products/mapowanie,/v1/products/mapowanie,products.read,ProductsMappingReadRequest,ProductsMappingReadResponse,approved-target,Artur Wiśniewski
products.mapping.update,products,command,PUT,/api/v1/products/mapping,/v1/products/mapping,products.write,ProductsMappingUpdateRequest,ProductsMappingUpdateResponse,approved-target,Artur Wiśniewski
products.offers.read,products,query,GET,/api/v1/products/oferty,/v1/products/oferty,products.read,ProductsOffersReadRequest,ProductsOffersReadResponse,approved-target,Artur Wiśniewski
products.overview.read,products,query,GET,/api/v1/products/przeglad,/v1/products/przeglad,products.read,ProductsOverviewReadRequest,ProductsOverviewReadResponse,approved-target,Artur Wiśniewski
products.performance.read,products,query,GET,/api/v1/products/wydajnosc,/v1/products/wydajnosc,products.read,ProductsPerformanceReadRequest,ProductsPerformanceReadResponse,approved-target,Artur Wiśniewski
products.read,products,query,GET,/api/v1/products/read,/v1/products/read,products.read,ProductsReadRequest,ProductsReadResponse,approved-target,Artur Wiśniewski
products.write,products,command,POST,/api/v1/products/write,/v1/products/write,products.write,ProductsWriteRequest,ProductsWriteResponse,approved-target,Artur Wiśniewski
settings.account-security.read,settings,query,GET,/api/v1/settings/bezpieczenstwo-konta,/v1/settings/bezpieczenstwo-konta,settings.read,SettingsAccountSecurityReadRequest,SettingsAccountSecurityReadResponse,approved-target,Artur Wiśniewski
settings.audit.read,settings,query,GET,/api/v1/settings/audyt,/v1/settings/audyt,settings.read,SettingsAuditReadRequest,SettingsAuditReadResponse,approved-target,Artur Wiśniewski
settings.memberships.read,settings,query,GET,/api/v1/settings/czlonkostwa,/v1/settings/czlonkostwa,settings.read,SettingsMembershipsReadRequest,SettingsMembershipsReadResponse,approved-target,Artur Wiśniewski
settings.organization.read,settings,query,GET,/api/v1/settings/organizacja,/v1/settings/organizacja,settings.read,SettingsOrganizationReadRequest,SettingsOrganizationReadResponse,approved-target,Artur Wiśniewski
settings.privacy.read,settings,query,GET,/api/v1/settings/prywatnosc,/v1/settings/prywatnosc,settings.read,SettingsPrivacyReadRequest,SettingsPrivacyReadResponse,approved-target,Artur Wiśniewski
settings.read,settings,query,GET,/api/v1/settings/read,/v1/settings/read,settings.read,SettingsReadRequest,SettingsReadResponse,approved-target,Artur Wiśniewski
settings.roles.read,settings,query,GET,/api/v1/settings/role-i-uprawnienia,/v1/settings/role-i-uprawnienia,settings.read,SettingsRolesReadRequest,SettingsRolesReadResponse,approved-target,Artur Wiśniewski
settings.sessions.read,settings,query,GET,/api/v1/settings/sesje,/v1/settings/sesje,settings.read,SettingsSessionsReadRequest,SettingsSessionsReadResponse,approved-target,Artur Wiśniewski
settings.support-access.read,settings,query,GET,/api/v1/settings/dostep-wsparcia,/v1/settings/dostep-wsparcia,settings.read,SettingsSupportAccessReadRequest,SettingsSupportAccessReadResponse,approved-target,Artur Wiśniewski
settings.workspace.profile.update,settings,command,PATCH,/api/v1/settings/workspace/profile/update,/v1/settings/workspace/profile/update,settings.write,SettingsWorkspaceProfileUpdateRequest,SettingsWorkspaceProfileUpdateResponse,approved-target,Artur Wiśniewski
settings.workspace.read,settings,query,GET,/api/v1/settings/workspace,/v1/settings/workspace,settings.read,SettingsWorkspaceReadRequest,SettingsWorkspaceReadResponse,approved-target,Artur Wiśniewski
settings.write,settings,command,POST,/api/v1/settings/write,/v1/settings/write,settings.write,SettingsWriteRequest,SettingsWriteResponse,approved-target,Artur Wiśniewski
traffic.channels.read,traffic,query,GET,/api/v1/traffic/kanaly,/v1/traffic/kanaly,traffic.read,TrafficChannelsReadRequest,TrafficChannelsReadResponse,approved-target,Artur Wiśniewski
traffic.drop.diagnose,traffic,query,GET,/api/v1/traffic/drop/diagnose,/v1/traffic/drop/diagnose,traffic.read,TrafficDropDiagnoseRequest,TrafficDropDiagnoseResponse,approved-target,Artur Wiśniewski
traffic.event-quality.read,traffic,query,GET,/api/v1/traffic/jakosc-zdarzen,/v1/traffic/jakosc-zdarzen,traffic.read,TrafficEventQualityReadRequest,TrafficEventQualityReadResponse,approved-target,Artur Wiśniewski
traffic.funnel-definitions.read,traffic,query,GET,/api/v1/traffic/definicje-lejka,/v1/traffic/definicje-lejka,traffic.read,TrafficFunnelDefinitionsReadRequest,TrafficFunnelDefinitionsReadResponse,approved-target,Artur Wiśniewski
traffic.funnel-step.read,traffic,query,GET,/api/v1/traffic/lejek-szczegoly-kroku,/v1/traffic/lejek-szczegoly-kroku,traffic.read,TrafficFunnelStepReadRequest,TrafficFunnelStepReadResponse,approved-target,Artur Wiśniewski
traffic.funnel.read,traffic,query,GET,/api/v1/traffic/lejek-widok,/v1/traffic/lejek-widok,traffic.read,TrafficFunnelReadRequest,TrafficFunnelReadResponse,approved-target,Artur Wiśniewski
traffic.ga4-orders.read,traffic,query,GET,/api/v1/traffic/ga4-vs-zamowienia,/v1/traffic/ga4-vs-zamowienia,traffic.read,TrafficGa4OrdersReadRequest,TrafficGa4OrdersReadResponse,approved-target,Artur Wiśniewski
traffic.landing-pages.read,traffic,query,GET,/api/v1/traffic/strony-wejscia,/v1/traffic/strony-wejscia,traffic.read,TrafficLandingPagesReadRequest,TrafficLandingPagesReadResponse,approved-target,Artur Wiśniewski
traffic.overview.read,traffic,query,GET,/api/v1/traffic/przeglad-ruchu,/v1/traffic/przeglad-ruchu,traffic.read,TrafficOverviewReadRequest,TrafficOverviewReadResponse,approved-target,Artur Wiśniewski
traffic.read,traffic,query,GET,/api/v1/traffic/read,/v1/traffic/read,traffic.read,TrafficReadRequest,TrafficReadResponse,approved-target,Artur Wiśniewski
traffic.write,traffic,command,POST,/api/v1/traffic/write,/v1/traffic/write,traffic.write,TrafficWriteRequest,TrafficWriteResponse,approved-target,Artur Wiśniewski
workspace.onboarding.update,workspace,command,POST,/api/v1/workspace/onboarding/update,/v1/workspace/onboarding/update,workspace.write,WorkspaceOnboardingUpdateRequest,WorkspaceOnboardingUpdateResponse,approved-target,Artur Wiśniewski
workspace.resolve,workspace,query,GET,/api/v1/workspace/resolve,/v1/workspace/resolve,workspace.read,WorkspaceResolveRequest,WorkspaceResolveResponse,approved-target,Artur Wiśniewski
